,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_optimizer,param_optimizer__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16,6.024555826187134,0.1403071777532666,0.5146382808685303,0.004921025091850078,32,20,RMSprop,0.3,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.3}",0.551948051948052,0.7792207792207793,0.6601307189542484,0.7254901960784313,0.5294117647058824,0.6492403021814787,0.09659423611910746,43
17,6.084475708007813,0.17139855563712325,0.7436058521270752,0.4445923241961164,32,20,RMSprop,0.05,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.05}",0.6688311688311688,0.551948051948052,0.7777777777777778,0.5294117647058824,0.5882352941176471,0.6232408114761057,0.09063342480779758,50
18,6.6500084400177,0.14966541660868346,0.5204239845275879,0.006836096878367795,32,20,adam,0.001,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'adam', 'optimizer__learning_rate': 0.001}",0.8961038961038961,0.9805194805194806,0.9607843137254902,0.9803921568627451,0.9738562091503268,0.9583312112723877,0.031932073645024726,2
19,6.7735004901885985,0.3492342044189149,0.5513417243957519,0.0687154695799268,32,20,adam,0.01,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'adam', 'optimizer__learning_rate': 0.01}",0.8961038961038961,0.8506493506493507,0.869281045751634,0.7124183006535948,0.8758169934640523,0.8408539173245057,0.06584031686213837,19
20,6.52908182144165,0.10591799520097635,0.5214462280273438,0.009090136637993256,32,20,adam,0.1,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'adam', 'optimizer__learning_rate': 0.1}",0.551948051948052,0.7532467532467533,0.5359477124183006,0.5098039215686274,0.5098039215686274,0.5721500721500721,0.09196610827829219,79
21,6.567231321334839,0.08492733745213137,0.5285670280456543,0.008844060140233735,32,20,adam,0.2,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'adam', 'optimizer__learning_rate': 0.2}",0.512987012987013,0.512987012987013,0.49019607843137253,0.49019607843137253,0.5098039215686274,0.5032340208810797,0.010708699190142439,107
22,6.671741342544555,0.16779531429317707,0.5276540279388428,0.013668549386109981,32,20,adam,0.3,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'adam', 'optimizer__learning_rate': 0.3}",0.512987012987013,0.512987012987013,0.49019607843137253,0.8562091503267973,0.7320261437908496,0.6208810797046092,0.14703289082175058,53
23,6.646278953552246,0.31017442640546783,0.5264675140380859,0.01331417151499246,32,20,adam,0.05,"{'batch_size': 32, 'epochs': 20, 'optimizer': 'adam', 'optimizer__learning_rate': 0.05}",0.512987012987013,0.7597402597402597,0.5098039215686274,0.9477124183006536,0.5294117647058824,0.6519310754604872,0.17528604329222477,42
24,7.843257808685303,0.09009584651091467,0.5180099487304688,0.004505400824696773,32,30,RMSprop,0.001,"{'batch_size': 32, 'epochs': 30, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.001}",0.9675324675324676,0.7012987012987013,0.9084967320261438,0.9803921568627451,0.9803921568627451,0.9076224429165606,0.1065366831863447,9
25,8.110743141174316,0.6078102491296421,0.5242118835449219,0.007041607792950506,32,30,RMSprop,0.01,"{'batch_size': 32, 'epochs': 30, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.01}",0.7467532467532467,0.7012987012987013,0.6470588235294118,0.8627450980392157,0.7647058823529411,0.7445123503947033,0.0717724074163401,27
26,7.966466760635376,0.2364288203513652,0.528815221786499,0.01476039505063986,32,30,RMSprop,0.1,"{'batch_size': 32, 'epochs': 30, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.1}",0.6168831168831169,0.6168831168831169,0.5359477124183006,0.7908496732026143,0.6013071895424836,0.6323741617859265,0.08468488597756348,46
27,7.960750341415405,0.21462218066896596,0.5161727905273438,0.011101751892954962,32,30,RMSprop,0.2,"{'batch_size': 32, 'epochs': 30, 'optimizer': 'RMSprop', 'optimizer__learning_rate': 0.2}",0.6428571428571429,0.512987012987013,0.8366013071895425,0.738562091503268,0.7320261437908496,0.6926067396655633,0.10875521859222681,32
